iteration,action_noise_std,value_function_loss,surrogate_loss,entropy_loss,mean_reward,mean_episode_length,rew_air_time,rew_base_angular_vel,rew_base_linear_vel,rew_foot_clearance,rew_gait,rew_action_smoothness,rew_air_time_variance,rew_base_motion,rew_base_orientation,rew_foot_slip,rew_joint_acc,rew_joint_pos,rew_joint_torques,rew_joint_vel,terrain_level,error_vel_xy,error_vel_yaw,term_timeout,term_body_contact,term_out_of_bounds,total_timesteps
28,0.93,0.581,-0.0103,20.1514,5.61,42.72,0.0268,0.0964,0.3053,0.0033,0.1213,-0.1097,-0.0001,-0.0628,-0.0197,-0.0116,-0.0059,-0.0089,-0.0004,-0.0032,0.0001,0.044,0.0121,0.0,1.0,0.0,3410400.0
29,0.93,0.5896,-0.01,20.1128,6.11,45.46,0.0273,0.0979,0.3054,0.0034,0.1247,-0.111,-0.0001,-0.063,-0.0197,-0.0118,-0.006,-0.0088,-0.0004,-0.0033,0.0,0.0455,0.0122,0.0,1.0,0.0,3528000.0
30,0.92,0.6201,-0.0102,20.0843,6.16,45.49,0.0269,0.098,0.3085,0.0033,0.1234,-0.1111,-0.0001,-0.063,-0.0203,-0.0118,-0.0059,-0.0092,-0.0004,-0.0033,0.0,0.0454,0.0124,0.0,1.0,0.0,3645600.0
31,0.92,0.6261,-0.0094,20.0481,5.48,42.95,0.0275,0.0994,0.3117,0.0035,0.1273,-0.1123,-0.0001,-0.063,-0.0204,-0.012,-0.0061,-0.009,-0.0004,-0.0033,0.0,0.0461,0.0126,0.0,1.0,0.0,3763200.0
32,0.92,0.6403,-0.0111,19.9611,6.44,45.86,0.0275,0.1004,0.3217,0.0035,0.1278,-0.1131,-0.0001,-0.0631,-0.0209,-0.0121,-0.0062,-0.0094,-0.0004,-0.0033,0.0,0.0451,0.0128,0.0,1.0,0.0,3880800.0
33,0.91,0.6484,-0.0116,19.9184,7.0,47.72,0.0276,0.1005,0.3197,0.0035,0.1286,-0.113,-0.0001,-0.063,-0.0209,-0.0121,-0.0062,-0.0093,-0.0004,-0.0033,0.0,0.046,0.013,0.0,1.0,0.0,3998400.0
34,0.91,0.677,-0.0106,19.8801,6.55,48.77,0.028,0.1003,0.3115,0.0035,0.1279,-0.1122,-0.0001,-0.0628,-0.0207,-0.012,-0.0059,-0.0092,-0.0004,-0.0033,0.0,0.047,0.013,0.0,1.0,0.0,4116000.0
35,0.91,0.663,-0.0104,19.8246,7.19,48.55,0.0285,0.1028,0.3207,0.0037,0.1333,-0.1148,-0.0001,-0.0633,-0.0216,-0.0125,-0.0064,-0.0094,-0.0004,-0.0034,0.0,0.0483,0.0135,0.0,1.0,0.0,4233600.0
36,0.9,0.6919,-0.0123,19.7652,6.81,47.24,0.0283,0.1028,0.3229,0.0037,0.1319,-0.1144,-0.0001,-0.0634,-0.0214,-0.0125,-0.0059,-0.0096,-0.0004,-0.0034,0.0,0.0479,0.0134,0.0,1.0,0.0,4351200.0
37,0.9,0.6749,-0.0119,19.7251,6.65,46.13,0.0281,0.1047,0.3319,0.0038,0.1341,-0.1161,-0.0001,-0.0634,-0.0222,-0.0127,-0.0062,-0.0099,-0.0004,-0.0034,0.0,0.0481,0.0135,0.0,1.0,0.0,4468800.0
38,0.9,0.7276,-0.0114,19.675,7.31,49.47,0.0285,0.1045,0.3302,0.0037,0.1338,-0.1151,-0.0001,-0.0632,-0.0218,-0.0125,-0.006,-0.0097,-0.0004,-0.0034,0.0,0.0478,0.0133,0.0,1.0,0.0,4586400.0
39,0.9,0.7293,-0.0124,19.6163,7.56,50.48,0.0281,0.1058,0.3416,0.0038,0.1354,-0.1168,-0.0001,-0.0635,-0.0225,-0.0128,-0.0063,-0.0101,-0.0004,-0.0034,0.0,0.0478,0.0139,0.0,1.0,0.0,4704000.0
40,0.89,0.7837,-0.0132,19.5779,7.55,51.19,0.0288,0.1081,0.3431,0.004,0.1393,-0.119,-0.0001,-0.0638,-0.0228,-0.0131,-0.0063,-0.0102,-0.0004,-0.0035,0.0,0.0497,0.0143,0.0,1.0,0.0,4821600.0
41,0.89,0.792,-0.012,19.5238,6.65,47.28,0.029,0.1075,0.3388,0.0039,0.1389,-0.1178,-0.0001,-0.0633,-0.0225,-0.0129,-0.0064,-0.01,-0.0004,-0.0035,0.0,0.0497,0.0139,0.0,1.0,0.0,4939200.0
42,0.89,0.811,-0.0119,19.4734,7.51,52.23,0.0297,0.1105,0.3471,0.0041,0.144,-0.1208,-0.0001,-0.064,-0.0231,-0.0134,-0.0066,-0.0102,-0.0005,-0.0035,0.0,0.051,0.0142,0.0,1.0,0.0,5056800.0
43,0.88,0.8236,-0.0123,19.3789,7.26,51.33,0.03,0.1131,0.3578,0.0043,0.1487,-0.1235,-0.0001,-0.0643,-0.0237,-0.0138,-0.0067,-0.0105,-0.0005,-0.0036,0.0,0.0523,0.0149,0.0,1.0,0.0,5174400.0
44,0.88,0.8645,-0.0054,19.3645,6.98,53.6,0.0298,0.1139,0.3589,0.0043,0.1496,-0.1239,-0.0001,-0.0642,-0.0239,-0.0139,-0.0068,-0.0106,-0.0005,-0.0036,0.0,0.053,0.0148,0.0,1.0,0.0,5292000.0
45,0.87,0.8964,-0.0127,19.2413,8.64,56.9,0.0294,0.1136,0.3661,0.0043,0.1477,-0.123,-0.0001,-0.064,-0.0239,-0.0138,-0.0068,-0.0109,-0.0005,-0.0036,0.0,0.0511,0.0147,0.0,1.0,0.0,5409600.0
46,0.87,0.8621,-0.0122,19.1941,8.08,53.5,0.0297,0.1153,0.3732,0.0044,0.1498,-0.1244,-0.0001,-0.0643,-0.0245,-0.014,-0.007,-0.0111,-0.0005,-0.0036,0.0,0.0518,0.0151,0.0,1.0,0.0,5527200.0
47,0.87,0.8822,-0.0118,19.134,7.89,52.34,0.0303,0.1172,0.382,0.0045,0.1526,-0.1259,-0.0001,-0.0643,-0.0249,-0.0143,-0.0068,-0.0113,-0.0005,-0.0037,0.0,0.0521,0.0155,0.0,1.0,0.0,5644800.0
48,0.86,0.9015,-0.0102,19.0703,8.21,55.03,0.0306,0.1173,0.3749,0.0045,0.1526,-0.1252,-0.0001,-0.0642,-0.0251,-0.0141,-0.0066,-0.0112,-0.0005,-0.0036,0.0,0.0534,0.0152,0.0,1.0,0.0,5762400.0
49,0.86,0.9456,-0.0104,19.001,8.34,54.77,0.0308,0.1188,0.3807,0.0046,0.1571,-0.1266,-0.0001,-0.0644,-0.0253,-0.0145,-0.0068,-0.0113,-0.0005,-0.0037,0.0,0.0541,0.0155,0.0,1.0,0.0,5880000.0
50,0.86,0.882,-0.0133,18.9281,8.45,58.21,0.0304,0.1175,0.3705,0.0045,0.1546,-0.1247,-0.0001,-0.0641,-0.0249,-0.0142,-0.0065,-0.0112,-0.0005,-0.0036,0.0,0.0541,0.0153,0.0,1.0,0.0,5997600.0
51,0.85,0.9042,-0.0094,18.8862,8.74,59.13,0.031,0.1195,0.3803,0.0047,0.1582,-0.1264,-0.0001,-0.0645,-0.0255,-0.0146,-0.0067,-0.0113,-0.0005,-0.0037,0.0,0.0549,0.0156,0.0,1.0,0.0,6115200.0
52,0.85,0.924,-0.006,18.82,8.07,58.58,0.0315,0.1219,0.3851,0.0048,0.1618,-0.1283,-0.0001,-0.0647,-0.0259,-0.0148,-0.0071,-0.0116,-0.0005,-0.0037,0.0,0.0565,0.016,0.0,1.0,0.0,6232800.0
53,0.85,0.9636,-0.009,18.756,8.07,54.52,0.031,0.1242,0.3972,0.0049,0.1644,-0.1303,-0.0001,-0.0647,-0.0261,-0.0152,-0.007,-0.0121,-0.0005,-0.0038,0.0,0.0565,0.0163,0.0,1.0,0.0,6350400.0
54,0.84,0.95,-0.0108,18.685,7.22,54.01,0.0319,0.1248,0.3934,0.0049,0.1661,-0.1303,-0.0001,-0.0651,-0.0265,-0.0154,-0.0072,-0.0118,-0.0005,-0.0038,0.0,0.0573,0.0161,0.0,1.0,0.0,6468000.0
55,0.84,0.9928,-0.0066,18.6521,7.76,55.32,0.0318,0.1256,0.4101,0.005,0.1663,-0.131,-0.0001,-0.0651,-0.0264,-0.0153,-0.007,-0.0122,-0.0005,-0.0038,0.0,0.0561,0.0165,0.0,1.0,0.0,6585600.0
56,0.84,1.0495,-0.0086,18.558,9.44,62.78,0.0328,0.1271,0.4044,0.0052,0.1727,-0.1321,-0.0001,-0.0652,-0.0267,-0.0155,-0.0071,-0.0118,-0.0005,-0.0038,0.0,0.0583,0.0168,0.0,1.0,0.0,6703200.0
57,0.83,0.9938,-0.0084,18.5099,9.35,61.89,0.0331,0.1298,0.4068,0.0053,0.1775,-0.1344,-0.0001,-0.0657,-0.027,-0.016,-0.007,-0.0121,-0.0005,-0.0038,0.0,0.0608,0.0173,0.0,1.0,0.0,6820800.0
58,0.83,1.0593,-0.0092,18.4486,8.71,58.22,0.0326,0.1295,0.4208,0.0053,0.1736,-0.1336,-0.0001,-0.0657,-0.0272,-0.0159,-0.0071,-0.0127,-0.0005,-0.0039,0.0,0.0583,0.0173,0.0,1.0,0.0,6938400.0
59,0.83,1.1004,-0.0072,18.408,9.48,62.08,0.0326,0.1309,0.421,0.0053,0.175,-0.1344,-0.0001,-0.0656,-0.0278,-0.0162,-0.0071,-0.0129,-0.0005,-0.0039,0.0,0.0595,0.0171,0.0,1.0,0.0,7056000.0
60,0.82,1.1177,-0.0127,18.3299,8.57,59.54,0.034,0.1373,0.4475,0.0057,0.1863,-0.1409,-0.0001,-0.0668,-0.0287,-0.017,-0.0077,-0.0136,-0.0006,-0.004,0.0,0.0618,0.0184,0.0,1.0,0.0,7173600.0
61,0.82,1.1203,-0.0079,18.3099,10.37,67.01,0.0337,0.1368,0.4514,0.0057,0.1862,-0.1398,-0.0001,-0.0666,-0.0284,-0.017,-0.0075,-0.0134,-0.0005,-0.004,0.0,0.0599,0.018,0.0,1.0,0.0,7291200.0
62,0.82,1.1708,-0.0057,18.2368,11.15,69.15,0.0349,0.1404,0.4534,0.0059,0.1921,-0.1433,-0.0001,-0.0673,-0.029,-0.0174,-0.0074,-0.0138,-0.0006,-0.0041,0.0,0.0634,0.0188,0.0,1.0,0.0,7408800.0
63,0.81,1.2316,-0.0088,18.1524,10.39,70.47,0.035,0.1436,0.4661,0.0061,0.1972,-0.146,-0.0001,-0.0679,-0.0295,-0.018,-0.0076,-0.0142,-0.0006,-0.0041,0.0,0.065,0.0193,0.0,1.0,0.0,7526400.0
64,0.81,1.2542,-0.0089,18.0966,9.2,60.85,0.0349,0.1442,0.4778,0.0061,0.196,-0.1461,-0.0001,-0.0679,-0.0299,-0.0179,-0.0075,-0.0146,-0.0006,-0.0042,0.0,0.0636,0.0193,0.0,1.0,0.0,7644000.0
65,0.81,1.3056,-0.0078,18.0196,11.51,70.36,0.0365,0.1481,0.4748,0.0064,0.2064,-0.1492,-0.0002,-0.0684,-0.0302,-0.0186,-0.0078,-0.0142,-0.0006,-0.0042,0.0,0.0674,0.0196,0.0,1.0,0.0,7761600.0
66,0.8,1.2746,-0.0093,17.956,10.13,65.53,0.0359,0.148,0.489,0.0063,0.204,-0.1489,-0.0001,-0.0684,-0.0306,-0.0184,-0.0079,-0.0149,-0.0006,-0.0042,0.0,0.065,0.0199,0.0,1.0,0.0,7879200.0
67,0.8,1.3721,-0.0063,17.881,12.49,74.81,0.0369,0.1522,0.5055,0.0066,0.2096,-0.1523,-0.0002,-0.0693,-0.0319,-0.0192,-0.0079,-0.0152,-0.0006,-0.0043,0.0,0.0663,0.0203,0.0,1.0,0.0,7996800.0
68,0.8,1.3408,-0.0071,17.8371,10.22,65.31,0.0368,0.1526,0.5057,0.0066,0.2093,-0.1526,-0.0002,-0.0694,-0.0313,-0.0192,-0.0079,-0.0156,-0.0006,-0.0043,0.0,0.0661,0.0206,0.0,1.0,0.0,8114400.0
69,0.79,1.437,-0.0021,17.7626,11.76,76.83,0.0371,0.1557,0.502,0.0068,0.2112,-0.1548,-0.0002,-0.0696,-0.0317,-0.0196,-0.008,-0.0163,-0.0006,-0.0044,0.0,0.0712,0.0209,0.0,1.0,0.0,8232000.0
70,0.79,1.4826,-0.0046,17.7235,12.19,74.94,0.0387,0.1617,0.5269,0.0071,0.2183,-0.1605,-0.0002,-0.0707,-0.034,-0.0204,-0.0083,-0.0173,-0.0006,-0.0045,0.0,0.0732,0.0221,0.0,1.0,0.0,8349600.0
71,0.79,1.5146,-0.0052,17.6674,11.94,74.8,0.0387,0.1607,0.5246,0.007,0.2199,-0.1596,-0.0002,-0.0708,-0.034,-0.0204,-0.0082,-0.0169,-0.0006,-0.0045,0.0,0.073,0.0223,0.0,1.0,0.0,8467200.0
72,0.79,1.5943,-0.006,17.6322,12.82,78.69,0.0407,0.1711,0.5709,0.0077,0.2335,-0.1687,-0.0002,-0.0717,-0.0356,-0.0218,-0.0087,-0.0184,-0.0007,-0.0047,0.0,0.0744,0.0232,0.0,1.0,0.0,8584800.0
73,0.78,1.6356,-0.0111,17.5412,12.49,78.79,0.0418,0.1757,0.5881,0.0081,0.2418,-0.1741,-0.0002,-0.073,-0.0369,-0.0228,-0.0094,-0.0195,-0.0007,-0.0048,0.0,0.0772,0.0253,0.0,1.0,0.0,8702400.0
74,0.78,1.8199,-0.0057,17.5087,12.63,77.78,0.0431,0.1777,0.5996,0.008,0.2457,-0.1752,-0.0002,-0.0731,-0.0376,-0.0228,-0.0089,-0.0191,-0.0007,-0.0048,0.0,0.0767,0.0247,0.0,1.0,0.0,8820000.0
75,0.78,1.7854,-0.0056,17.4332,13.14,84.68,0.0437,0.1837,0.623,0.0085,0.2537,-0.1813,-0.0002,-0.0742,-0.0404,-0.0239,-0.0087,-0.0204,-0.0007,-0.0049,0.0,0.0803,0.0265,0.0,1.0,0.0,8937600.0
76,0.78,1.8304,-0.004,17.4033,14.42,86.55,0.0446,0.1885,0.6323,0.009,0.2579,-0.1845,-0.0002,-0.0742,-0.0416,-0.0242,-0.0097,-0.0211,-0.0008,-0.005,0.0,0.0825,0.0262,0.0,1.0,0.0,9055200.0
77,0.77,1.7046,-0.0106,17.3293,15.2,89.19,0.0443,0.1896,0.6589,0.0087,0.2582,-0.1849,-0.0002,-0.075,-0.0423,-0.0243,-0.0101,-0.0217,-0.0008,-0.0051,0.0,0.0784,0.026,0.0,1.0,0.0,9172800.0
78,0.77,1.8112,-0.0067,17.296,15.12,93.89,0.0473,0.2008,0.6823,0.0096,0.2748,-0.1955,-0.0002,-0.0763,-0.0444,-0.0257,-0.0097,-0.0229,-0.0008,-0.0053,0.0,0.0864,0.0278,0.0,1.0,0.0,9290400.0
79,0.77,1.9385,-0.0083,17.2367,14.58,87.29,0.0486,0.2006,0.6952,0.0095,0.275,-0.1949,-0.0002,-0.0761,-0.0466,-0.026,-0.0098,-0.0226,-0.0008,-0.0053,0.0,0.0834,0.0279,0.0,1.0,0.0,9408000.0
80,0.77,1.9797,-0.007,17.1988,18.83,102.52,0.0515,0.2103,0.733,0.0102,0.2947,-0.2044,-0.0002,-0.0774,-0.0493,-0.0263,-0.0098,-0.0232,-0.0008,-0.0055,0.0,0.0861,0.0299,0.0,1.0,0.0,9525600.0
81,0.77,1.9665,0.0002,17.1644,16.18,91.55,0.0504,0.2074,0.721,0.0099,0.2843,-0.2003,-0.0002,-0.0774,-0.0489,-0.0262,-0.0102,-0.0237,-0.0008,-0.0054,0.0,0.0858,0.0285,0.0,1.0,0.0,9643200.0
82,0.76,2.0299,-0.0023,17.1344,20.08,109.73,0.0529,0.2154,0.7626,0.0104,0.2931,-0.2083,-0.0003,-0.0782,-0.0522,-0.0273,-0.0103,-0.025,-0.0009,-0.0056,0.0,0.0873,0.0305,0.0,1.0,0.0,9760800.0
83,0.76,2.1652,-0.0055,17.0941,16.26,95.16,0.0536,0.213,0.7336,0.0102,0.2887,-0.2053,-0.0003,-0.0779,-0.0516,-0.0267,-0.0105,-0.0246,-0.0009,-0.0055,0.0,0.0887,0.0298,0.0,1.0,0.0,9878400.0
84,0.76,2.3715,-0.0075,17.0226,16.6,94.5,0.0524,0.213,0.7478,0.0102,0.2811,-0.205,-0.0003,-0.0776,-0.0521,-0.0264,-0.0102,-0.0267,-0.0009,-0.0055,0.0,0.0872,0.0301,0.0,1.0,0.0,9996000.0
85,0.76,4.1519,-0.0048,16.9875,16.84,102.68,0.0556,0.2163,0.7444,0.0105,0.2848,-0.2072,-0.0003,-0.0785,-0.0545,-0.0269,-0.0104,-0.0263,-0.0009,-0.0056,0.0,0.092,0.0305,0.0,1.0,0.0,10113600.0
86,0.76,4.2131,0.01,16.9794,16.65,95.18,0.056,0.2216,0.7916,0.0108,0.2923,-0.2117,-0.0003,-0.0792,-0.0555,-0.0275,-0.0107,-0.0274,-0.0009,-0.0057,0.0,0.0886,0.0311,0.0,1.0,0.0,10231200.0
87,0.76,2.1714,-0.0024,16.9753,15.22,93.62,0.0577,0.2276,0.8083,0.0113,0.2942,-0.2173,-0.0003,-0.08,-0.0577,-0.0279,-0.0111,-0.0289,-0.0009,-0.0058,0.0,0.0916,0.0323,0.0,1.0,0.0,10348800.0
88,0.75,1.9533,-0.0092,16.9432,19.99,111.69,0.0554,0.2136,0.7652,0.0104,0.2703,-0.2041,-0.0003,-0.0782,-0.0554,-0.026,-0.0102,-0.0281,-0.0009,-0.0055,0.0,0.0861,0.0306,0.0,1.0,0.0,10466400.0
89,0.75,2.0214,0.0032,16.9234,18.15,103.75,0.0575,0.2189,0.8054,0.0107,0.2806,-0.2083,-0.0003,-0.0795,-0.0579,-0.0264,-0.0108,-0.0277,-0.0009,-0.0057,0.0,0.0841,0.0309,0.0,1.0,0.0,10584000.0
90,0.75,1.9245,-0.0025,16.9054,15.85,97.8,0.0576,0.2151,0.7575,0.0105,0.2736,-0.2049,-0.0003,-0.0788,-0.0576,-0.0257,-0.0102,-0.0276,-0.0009,-0.0056,0.0,0.0898,0.0305,0.0,1.0,0.0,10701600.0
91,0.75,1.9813,0.0016,16.8984,19.27,106.92,0.0583,0.2176,0.7918,0.0105,0.2731,-0.2078,-0.0003,-0.08,-0.0585,-0.0257,-0.0105,-0.0289,-0.0009,-0.0057,0.0,0.0856,0.0315,0.0,1.0,0.0,10819200.0
92,0.75,1.8731,-0.0019,16.8977,17.63,107.02,0.0595,0.2232,0.7866,0.0112,0.2806,-0.2127,-0.0003,-0.0805,-0.0609,-0.0266,-0.0105,-0.029,-0.0009,-0.0058,0.0,0.0922,0.0322,0.0,1.0,0.0,10936800.0
93,0.75,1.8709,0.001,16.8881,18.01,107.84,0.061,0.2234,0.7999,0.0111,0.2803,-0.2128,-0.0003,-0.0808,-0.0614,-0.0262,-0.0111,-0.0282,-0.0009,-0.0058,0.0,0.09,0.0325,0.0,1.0,0.0,11054400.0
94,0.75,1.8392,-0.0001,16.8815,20.71,114.4,0.0601,0.2267,0.8293,0.0111,0.2798,-0.2151,-0.0003,-0.0818,-0.0621,-0.0266,-0.0109,-0.0302,-0.0009,-0.0058,0.0,0.0876,0.0323,0.0,1.0,0.0,11172000.0
95,0.75,1.7646,-0.0071,16.8614,19.73,112.26,0.0583,0.2235,0.8017,0.011,0.2714,-0.2123,-0.0003,-0.0815,-0.0618,-0.0262,-0.0104,-0.0314,-0.0009,-0.0058,0.0,0.0906,0.0324,0.0,1.0,0.0,11289600.0
96,0.75,1.7444,-0.0128,16.815,15.76,101.45,0.0621,0.235,0.8328,0.0118,0.2998,-0.2236,-0.0003,-0.0832,-0.0644,-0.0277,-0.0111,-0.0303,-0.001,-0.006,0.0,0.0955,0.0347,0.0,1.0,0.0,11407200.0
